Entity,Code,Year,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
United States,USA,1990,31.19506955,0.283395898,28.08403501,3.281702529
United States,USA,1991,30.85611355,0.271225444,27.70024143,3.348164231
United States,USA,1992,30.27920293,0.257007088,27.10677077,3.383140732
United States,USA,1993,30.75235543,0.252343319,27.44725097,3.541285358
United States,USA,1994,30.47438786,0.241279959,27.12267939,3.606160392
United States,USA,1995,30.35046372,0.230246175,26.93429165,3.690747903
United States,USA,1996,29.99271237,0.21864228,26.56635431,3.717584374
United States,USA,1997,29.64126205,0.210562036,26.18573731,3.761268509
United States,USA,1998,29.42022044,0.201732086,25.90635708,3.838509211
United States,USA,1999,29.53359911,0.195340924,25.89521481,3.989032763
United States,USA,2000,29.10768889,0.1859484,25.44181419,4.029325453
United States,USA,2001,28.93113713,0.17687081,25.24284409,4.06875482
United States,USA,2002,28.65140941,0.168936148,24.9480417,4.097656299
United States,USA,2003,28.12696434,0.16055754,24.42431206,4.108153608
United States,USA,2004,26.96519777,0.148604245,23.34018269,4.031958735
United States,USA,2005,26.63443643,0.144128734,22.95162922,4.102205137
United States,USA,2006,25.93368823,0.13840427,22.28561928,4.070333396
United States,USA,2007,25.11755737,0.130770471,21.49566905,4.048496317
United States,USA,2008,24.65482357,0.124166569,20.9997785,4.092602669
United States,USA,2009,23.93127486,0.116672546,20.29819602,4.071619724
United States,USA,2010,22.97204704,0.10838183,19.3897013,4.016614534
United States,USA,2011,23.39666589,0.104453386,19.77382442,4.085944685
United States,USA,2012,21.98194263,0.101611703,18.33893053,4.076191809
United States,USA,2013,21.27855281,0.098259769,17.61037044,4.091788849
United States,USA,2014,20.27039185,0.095734982,16.57709649,4.092842055
United States,USA,2015,19.95171479,0.092758726,16.2325996,4.115664936
United States,USA,2016,18.80566618,0.090755682,15.04178809,4.12264915
United States,USA,2017,18.82514567,0.089135041,15.04392511,4.142218557
